Family subject avg_mix_log10_ratio recipient_fam_relAbundance_day_029 recipient_fam_relAbundance_day_036 recipient_ratio recipient_log10_ratio
Marinifilaceae XEA 1.8097495239137118 1e-4 1e-4 1e-4 1e-4
Marinifilaceae XFA 2.163198045823695 0.0197855050660467 1e-4 197.85505066046701 2.296347141010811
Marinifilaceae XGA 1.3216989741108331 1e-4 1e-4 1e-4 1e-4
Marinifilaceae XJA 2.1766603398213356 0.01032119560729915 1e-4 103.2119560729915 2.0137300088780794
Marinifilaceae XSA 1.2931537380536646 1e-4 1e-4 1e-4 1e-4
Oscillospiraceae XCA -0.54345396747139 0.06374865230573301 0.13024770011807923 0.48944167342640305 -0.31029905548155595
Oscillospiraceae XDA -0.36527409910375064 0.02336729018471357 0.0906895219167495 0.25766251371535626 -0.5889487606139094
Oscillospiraceae XEA -0.6491414421237132 0.12276024650143584 0.15124299293200072 0.8116755964795619 -0.09061751116432981
Oscillospiraceae XFA 0.4938208308528216 0.031148493862618393 0.013799018543449 2.2572977755295467 0.35358885360105047
Oscillospiraceae XGA -0.5704822153598902 0.018690369707811592 0.1665214734296376 0.11223999717795595 -0.9498523528991385
Oscillospiraceae XJA 2.1895197366375903 0.14215176286020967 1e-4 1421.5176286020967 3.1527522498563183
Oscillospiraceae XLA -0.4324763216966191 0.05154492213022251 0.13293900055834768 0.3877336365831873 -0.4114665215390704
Oscillospiraceae XSA -0.2349346269368677 0.0600562532187141 0.0718889536012425 0.83540307947501 -0.07810392816529672
Peptostreptococcaceae XCA 2.650145954764196 1e-4 1e-4 1e-4 1e-4
Peptostreptococcaceae XDA 2.657197492916773 1e-4 1e-4 1e-4 1e-4
Peptostreptococcaceae XEA -0.062350855688823155 1e-4 0.036570801852303186 0.002734421859380207 -2.563134482793959
Peptostreptococcaceae XFA 1.0906762320342414 1e-4 0.00287705736743822 0.03475773584905666 -1.4589485216447462
Peptostreptococcaceae XGA 2.3425929201862488 0.153193947525343 1e-4 1531.93947525343 3.185241607279157
Peptostreptococcaceae XJA 3.023203101345678 1e-4 1e-4 1e-4 1e-4
Peptostreptococcaceae XLA -0.10707693366816584 0.0896779481818506 0.118962869905081 0.7538314118800558 -0.12272576961665826
Peptostreptococcaceae XSA 2.6038907993403146 1e-4 1e-4 1e-4 1e-4
Porphyromonadaceae XCA 2.9761830832576797 1e-4 1e-4 1e-4 1e-4
Porphyromonadaceae XDA 3.0668933514089898 1e-4 1e-4 1e-4 1e-4
Porphyromonadaceae XEA 2.8088112326607226 1e-4 1e-4 1e-4 1e-4
Porphyromonadaceae XFA 1.3833274307729806 1e-4 0.00276848916489339 0.03612078431372544 -1.4422428281418949
Porphyromonadaceae XGA 3.1433486458137154 0.171437090041741 1e-4 1714.37090041741 3.234104786419563
Porphyromonadaceae XJA 3.4522258107484025 1e-4 1e-4 1e-4 1e-4
Porphyromonadaceae XLA 2.9128970512786863 1e-4 1e-4 1e-4 1e-4
Porphyromonadaceae XSA 2.87133803818236 1e-4 1e-4 1e-4 1e-4
Pseudomonadaceae XFA 1.9733546683435006 1e-4 1e-4 1e-4 1e-4
Rikenellaceae XCA -0.9340917764964769 0.0355212411088358 0.0860112475733661 0.4129836749378248 -0.3840671154732541
Rikenellaceae XDA -0.5283767326973601 0.00687187143233512 0.0152782378270951 0.44978167705625316 -0.3469982405754519
Rikenellaceae XEA 1.5347078329178612 0.014761607164046859 1e-4 147.6160716404686 2.1691336436983644
Rikenellaceae XFA 1.8240217699969663 0.020777059755416508 1e-4 207.77059755416508 2.3175840888253134
Rikenellaceae XGA -0.6356178692896158 0.00115533691115086 0.0545449817316569 0.021181360309821567 -1.674046152062415
Rikenellaceae XJA 1.4393685653737245 0.00647345388489803 1e-4 64.734538848980307 1.8111360585544618
Rikenellaceae XLA -0.45486633691235634 0.0603119542878865 0.0486634561697376 1.2393684919854246 0.0932004510432849
Rikenellaceae XSA 1.74079867688162 1e-4 1e-4 1e-4 1e-4
Ruminococcaceae XCA 1.6598269178460479 0.03989898624447356 1e-4 398.98986244473554 2.60096186125005
Ruminococcaceae XDA 1.9269010020376112 0.03928456426919586 1e-4 392.8456426919586 2.5942219404633926
Ruminococcaceae XEA -0.1375319839028305 0.00509457396229699 0.00745795759200585 0.6831057832452467 -0.16551203786697158
Ruminococcaceae XFA 1.6608556769099445 0.00887840348297831 1e-4 88.7840348297831 1.9483348778429015
Ruminococcaceae XGA 0.5964705100228704 0.00421138938580799 0.00221040450402424 1.9052573310182717 0.2799536413731782
Ruminococcaceae XJA 1.8658739314880326 0.026736025101147698 1e-4 267.360251011477 2.4270968402873776
Ruminococcaceae XLA -0.0757250523363482 0.017130163104812357 0.00270449469570073 6.33396069589035 0.801675364117848
Ruminococcaceae XSA 2.0665048468294147 0.00283246840708315 1e-4 28.3246840708315 1.4521650745086128
Streptococcaceae XCA 2.8118377338431326 1e-4 1e-4 1e-4 1e-4
Streptococcaceae XDA 3.1091761212143005 0.134312520125289 1e-4 1343.1252012528898 3.1281164979098883
Streptococcaceae XEA -0.4234607538900287 0.0245631244610748 0.467572507921033 0.05253329493277906 -1.2795653590246587
Streptococcaceae XFA 2.4750867663352283 0.112022885538118 1e-4 1120.22885538118 3.049306755238113
Streptococcaceae XGA 2.749774963731867 1e-4 1e-4 1e-4 1e-4
Streptococcaceae XJA -1.0466828398366415 0.00148625216745108 0.00111348107443693 1.3347799092163777 0.12540966113668858
Streptococcaceae XLA 1.992087488406123 1e-4 1e-4 1e-4 1e-4
Streptococcaceae XSA 2.6552914025905197 1e-4 1e-4 1e-4 1e-4
Sutterellaceae XCA 2.5311650935971133 1e-4 1e-4 1e-4 1e-4
Sutterellaceae XDA 2.4878900865471536 0.06115892391908901 1e-4 611.5892391908901 2.786459835469631
Sutterellaceae XEA 2.5816052413878348 0.236011676383802 1e-4 2360.11676383802 3.372933489680324
Sutterellaceae XFA 2.5061917184907743 0.00395482157714182 1e-4 39.5482157714182 1.5971268949612114
Sutterellaceae XGA 2.6617819492301424 0.0610092426952892 1e-4 610.092426952892 2.785395634149931
Sutterellaceae XJA -0.665318799398707 0.1223350672941954 0.32345902172734164 0.37820885823774364 -0.4222683035218655
Sutterellaceae XLA -0.2606893551148096 0.00885018828924078 0.0394158291457286 0.2245338606608978 -0.6487181562673398
Sutterellaceae XSA 2.6494523593411707 0.0356270385189293 1e-4 356.270385189293 2.551779723323755
Tannerellaceae XCA 2.574547759879858 0.0439511139733283 1e-4 439.51113973328296 2.642969887062541
Tannerellaceae XDA 0.332378121676837 0.04638330259652826 0.0091089764822789 5.092043292324321 0.7068920873495745
Tannerellaceae XEA 2.252682105180777 0.11960382567696919 1e-4 1196.0382567696918 3.0777450713231684
Tannerellaceae XFA 2.2265026638467016 0.04397032174240087 1e-4 439.7032174240087 2.643159643478202
Tannerellaceae XGA 1.1617950432749964 0.013435450208706 0.00313357344394024 4.287581079258797 0.6322123457486121
Tannerellaceae XJA 2.5278941782710964 0.0639914127652547 1e-4 639.914127652547 2.8061216983763333
