filename,sample,group,round2plate,round1index,metadata
16S-A-B11-L2,AME0060-B11,eACE010-eAME085,A,2,blank+XEA-029
16S-A-C11-L2,AME0060-C11,eACE010-eAME086,A,2,blank+XFA-029
16S-A-D11-L2,AME0060-D11,eACE010-eAME087,A,2,blank+XCA-029
16S-A-E11-L2,AME0060-E11,eACE010-eAME088,A,2,blank+XSA-029
16S-A-F11-L2,AME0060-F11,eACE010-eAME089,A,2,blank+XJA-029
16S-A-G11-L2,AME0060-G11,eACE010-eAME090,A,2,blank+XGA-029
16S-A-H11-L2,AME0060-H11,eACE010-eAME091,A,2,blank+XLA-029
16S-A-A12-L2,AME0060-A12,eACE010-eAME092,A,2,B-mix+XDA-029
16S-A-B12-L2,AME0060-B12,eACE010-eAME093,A,2,B-mix+XEA-029
16S-A-C12-L2,AME0060-C12,eACE010-eAME094,A,2,B-mix+XFA-029
16S-A-D12-L2,AME0060-D12,eACE010-eAME095,A,2,B-mix+XCA-029
16S-A-E12-L2,AME0060-E12,eACE010-eAME096,A,2,B-mix+XSA-029
16S-A-F12-L2,AME0060-F12,eACE010-eAME097,A,2,B-mix+XJA-029
16S-A-G12-L2,AME0060-G12,eACE010-eAME098,A,2,B-mix+XGA-029
16S-A-H12-L2,AME0060-H12,eACE010-eAME099,A,2,B-mix+XLA-029
16S-A-A1-L3,AME0061-A01,eACE010-eAME100,A,3,XBB-029+XDA-029
16S-A-B1-L3,AME0061-B01,eACE010-eAME101,A,3,XBB-029+XEA-029
16S-A-C1-L3,AME0061-C01,eACE010-eAME102,A,3,XBB-029+XFA-029
16S-A-D1-L3,AME0061-D01,eACE010-eAME103,A,3,XBB-029+XTA-029
16S-A-E1-L3,AME0061-E01,eACE010-eAME104,A,3,XBB-029+XSA-029
16S-A-F1-L3,AME0061-F01,eACE010-eAME105,A,3,XBB-029+XVA-029
16S-A-G1-L3,AME0061-G01,eACE010-eAME106,A,3,XBB-029+XGA-029
16S-A-H1-L3,AME0061-H01,eACE010-eAME107,A,3,XBB-029+XLA-029
16S-A-A2-L3,AME0061-A02,eACE010-eAME108,A,3,XCB-029+XDA-029
16S-A-B2-L3,AME0061-B02,eACE010-eAME109,A,3,XCB-029+XEA-029
16S-A-C2-L3,AME0061-C02,eACE010-eAME110,A,3,XCB-029+XFA-029
16S-A-D2-L3,AME0061-D02,eACE010-eAME111,A,3,XCB-029+XTA-029
16S-A-E2-L3,AME0061-E02,eACE010-eAME112,A,3,XCB-029+XSA-029
16S-A-F2-L3,AME0061-F02,eACE010-eAME113,A,3,XCB-029+XJA-029
16S-A-G2-L3,AME0061-G02,eACE010-eAME114,A,3,XCB-029+XGA-029
16S-A-H2-L3,AME0061-H02,eACE010-eAME115,A,3,XCB-029+XLA-029
16S-A-A3-L3,AME0061-A03,eACE010-eAME116,A,3,XDB-029+XDA-029
16S-A-B3-L3,AME0061-B03,eACE010-eAME117,A,3,XDB-029+XEA-029
16S-A-C3-L3,AME0061-C03,eACE010-eAME118,A,3,XDB-029+XFA-029
16S-A-D3-L3,AME0061-D03,eACE010-eAME119,A,3,XDB-029+XCA-029
16S-A-E3-L3,AME0061-E03,eACE010-eAME120,A,3,XDB-029+XSA-029
